L_nm,W_um,T_K,Vgs_V,Vds_V,log10_Id_A
90.0,0.2,250.0,0.0,0.05,-10.180111397764513
90.0,0.2,250.0,0.0,0.1,-10.079482229537412
90.0,0.2,250.0,0.0,0.3,-9.800349022053206
90.0,0.2,250.0,0.0,0.5,-9.533666311867659
90.0,0.2,250.0,0.0,0.9,-8.992435705377376
90.0,0.2,250.0,0.0,1.2,-8.564222502683148
90.0,0.2,250.0,0.01,0.05,-10.040073263623698
90.0,0.2,250.0,0.01,0.1,-9.93959304551998
90.0,0.2,250.0,0.01,0.3,-9.661288582633198
90.0,0.2,250.0,0.01,0.5,-9.396235494929778
90.0,0.2,250.0,0.01,0.9,-8.863339667642133
90.0,0.2,250.0,0.01,1.2,-8.449054124899426
90.0,0.2,250.0,0.02,0.05,-9.900119173874605
90.0,0.2,250.0,0.02,0.1,-9.799762541206787
90.0,0.2,250.0,0.02,0.3,-9.522143961898818
90.0,0.2,250.0,0.02,0.5,-9.25835605954475
90.0,0.2,250.0,0.02,0.9,-8.731747402844267
90.0,0.2,250.0,0.02,1.2,-8.328165570723264
90.0,0.2,250.0,0.03,0.05,-9.760282697842278
90.0,0.2,250.0,0.03,0.1,-9.66004201168808
90.0,0.2,250.0,0.03,0.3,-9.383026934268264
90.0,0.2,250.0,0.03,0.5,-9.120283242298523
90.0,0.2,250.0,0.03,0.9,-8.598578779021222
90.0,0.2,250.0,0.03,1.2,-8.203293872170232
90.0,0.2,250.0,0.04,0.05,-9.620598385960971
90.0,0.2,250.0,0.04,0.1,-9.52047075598508
90.0,0.2,250.0,0.04,0.3,-9.24402915299858
90.0,0.2,250.0,0.04,0.5,-8.982211478229894
90.0,0.2,250.0,0.04,0.9,-8.464522324875393
90.0,0.2,250.0,0.04,1.2,-8.075824646838756
90.0,0.2,250.0,0.05,0.05,-9.481096685734704
90.0,0.2,250.0,0.05,0.1,-9.381086270569543
90.0,0.2,250.0,0.05,0.3,-9.1052260645612
90.0,0.2,250.0,0.05,0.5,-8.844284500316038
90.0,0.2,250.0,0.05,0.9,-8.33008927685472
90.0,0.2,250.0,0.05,1.2,-7.946829326774563
90.0,0.2,250.0,0.06,0.05,-9.341814920284422
90.0,0.2,250.0,0.06,0.1,-9.241931032685493
90.0,0.2,250.0,0.06,0.3,-8.966688853976883
90.0,0.2,250.0,0.06,0.5,-8.70663302501098
90.0,0.2,250.0,0.06,0.9,-8.195671755383831
90.0,0.2,250.0,0.06,1.2,-7.817134736947458
90.0,0.2,250.0,0.07,0.05,-9.202792724307274
90.0,0.2,250.0,0.07,0.1,-9.103049615666011
90.0,0.2,250.0,0.07,0.3,-8.828484164431353
90.0,0.2,250.0,0.07,0.5,-8.56936227502172
90.0,0.2,250.0,0.07,0.9,-8.061577351489726
90.0,0.2,250.0,0.07,1.2,-7.6873657319116555
90.0,0.2,250.0,0.08,0.05,-9.06407476318939
90.0,0.2,250.0,0.08,0.1,-8.964490214910441
90.0,0.2,250.0,0.08,0.3,-8.690682892875751
90.0,0.2,250.0,0.08,0.5,-8.432577182760838
90.0,0.2,250.0,0.08,0.9,-7.928059109298502
90.0,0.2,250.0,0.08,1.2,-7.558017524028552
90.0,0.2,250.0,0.09,0.05,-8.925710296207635
90.0,0.2,250.0,0.09,0.1,-8.826303953483864
90.0,0.2,250.0,0.09,0.3,-8.553355670471783
